admission_id,student_id,student_name,mobile_no,email,location,qualification,course,mode,admission_date,attended_by,status
ADM0001,STU0001,Kiran,9765861654,kiran1@gmail.com,Palakkad,Working Professional,MERN Stack Development,Offline,1/2/2025,Shivaprasad,Admitted
ADM0002,STU0002,Tanya,9699233469,tanya2@gmail.com,Palakkad,UG,Data Science with Python,Offline,1/2/2025,Baiju,Admitted
ADM0003,STU0003,Faisal,9190014738,faisal3@gmail.com,Palakkad,Working Professional,Data Science with Python,Online,1/2/2025,Rifana,Admitted
ADM0004,STU0004,Ajay,9819774813,ajay4@gmail.com,Kottayam,UG,Python Full Stack Development,Online,1/2/2025,Praveena,Admitted
ADM0005,STU0005,Rahul,9385106179,rahul5@gmail.com,Kottayam,PG,MERN Stack Development,Offline,1/3/2025,Baiju,Admitted
ADM0006,STU0006,Arjun,9655011497,arjun6@gmail.com,Kannur,UG,DevOps,Offline,1/4/2025,Baiju,Admitted
ADM0007,STU0007,Irfan,9443497409,irfan7@gmail.com,Kannur,PG,React Frontend Developer,Online,1/5/2025,Baiju,Admitted
ADM0008,STU0008,Neeraj,9390140788,neeraj8@gmail.com,Thrissur,UG,Python Full Stack Development,Offline,1/5/2025,Baiju,Admitted
ADM0009,STU0009,Anjali,9327174723,anjali9@gmail.com,Palakkad,UG,Business Analytics,Offline,1/5/2025,Praveena,Admitted
ADM0010,STU0010,Neeraj,9886055252,neeraj10@gmail.com,Kannur,UG,MERN Stack Development,Online,1/6/2025,Shivaprasad,Admitted
ADM0011,STU0011,Rahul,9202267460,rahul11@gmail.com,Thrissur,UG,DevOps,Offline,1/7/2025,Shivaprasad,Admitted
ADM0012,STU0012,Sahil,9777110782,sahil12@gmail.com,Trivandrum,Working Professional,Python Full Stack Development,Offline,1/7/2025,Rifana,Admitted
ADM0013,STU0013,Divya,9281057016,divya13@gmail.com,Thrissur,Working Professional,Python Full Stack Development,Offline,1/8/2025,Praveena,Admitted
ADM0014,STU0014,Tanya,9383351774,tanya14@gmail.com,Kannur,UG,Flutter Development,Offline,1/8/2025,Praveena,Admitted
ADM0015,STU0015,Divya,9516749784,divya15@gmail.com,Kannur,UG,Python Full Stack Development,Offline,1/8/2025,Baiju,Admitted
